,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
383,32619.0,32619.0,Golden Ridge,Nickel,7.0,07/2021,Underground,,,"Nickel,Gold,Cobalt",Western Australia,Asia-Pacific,-30.91056,121.71694,Exact,30 km SE of Kalgoorlie,"The Blair Dome Nickel Project is located 35 km southeast of Kalgoorlie. (Pioneer 6/15 AR Sept 24, 2015)",,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,Essential Metals Limited (Owner) 100%; Australian Nickel Company Limited (Fractional),1.0,Morgan Stanley (Royalty),,,,,,,,,,,,,1989.0,,2004.0,1.0,2008.0,4.0,,,,,,,,,,,,,,8300.0,2003-03-05,,,Initial Capital Cost,"In November, Australian mines formally committed to the $8.3 million development of Blair. (MiningNews.net 11/13/03)_x000D_
	As of March 2003, the cost of re-equipping Blair was estimated at A$1.35 million ($760,000). (West Musgrave PR 3/5/03)",2003.0,Essential Metals Limited,Essential Metals Ltd.,Essential Metals,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Golden Ridge,"18 Footer, 20SW, AC75, Black Shadow, Blair, Blair Dome, Blair South, Commando, Duplex, Duplex Hill, Fireblade, Flying Ant, Flying Squirrel, Go, Goldstar, Goodyear, L26/272, Leo Dam, Leo's Dam, M26/220, M26/222, M26/284, M26/285, Marriot, Marshall, Maximus, Mick's Hill, N10, Nor, Rocket, Saturno, Scandia, Skandia, Skidman",Australia,Active,Advanced Exploration,2021.0,,2.92,,0.22,,,,,,,,,4.0,0.0040960000000000015,Late-stage exploration
387,36697.0,36697.0,Gordes,Nickel,3.0,03/2007,Open Pit,,,"Nickel,Cobalt",Manisa,Europe,39.03333,28.26667,Approximate,160 km NE of Izmir,,,,2.0,3.0,2.0,2.0,,,,,,,,,,,1.0,Meta Madencilik (Owner) 100%,,,,,,,,,,,,,,,2014.0,,,,,,,,1500.0,500000.0,,,,,Open Pit,High Pressure Acid Leach,,,,360000.0,2017-12-31,,2014-12-31,Initial Capital Cost,"In 2017, Meta reported that Zorlu Holding had invested $360 million for the first phase of the Gordes project.  (Meta WS July 2, 2017)",2014.0,Meta Madencilik,Meta Madencilik,Meta Madencilik,,100.0,100.0,Ankara,Ankara,Ankara [TR],,Turkey,Europe,Gordes,,Turkey,Active,Operating,2007.0,98881.08324900077,0.7,5954.0,97.143,680000.0,14125869.03557154,ENK AnnRpt 2010Zorlu Group AnnRpt 2018,1338384.9977114773,734397.2330907028,936869.498398034,0.006355207433031843,16.607504744541615,9.0,0.531441,Operating-stage
391,27742.0,27742.0,Goro,Nickel,2.0,02/2021,Open Pit,,,"Nickel,Cobalt",South,Asia-Pacific,-22.29309,166.96852,Exact,55 km E of Noumea,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,2.0,Prony Resources New Caledonia consortium (Venturer) 95%; Societe de Participation Miniere du Sud Caledonia SAS (Venturer) 5%,,,,,,,,,,,,,,,2011.0,3.0,2010.0,4.0,,,2044.0,,12000.0,4000000.0,,,,,Open Pit,High Pressure Acid Leach,"Carbonate, Precipitates",182.0,,4300000.0,2001-06-30,,,Initial Capital Cost,"In October 2009, Goro was due to start processing ore in the near-term with the total capital cost reported as $4.3 billion. (Vale PR 10/19/09)_x000D_
	In April 2009, Goro's capital cost was $4.083 billion. (Vale SA 12/08 20F 4/28/09)_x000D_
	In May 2007, CVRD expected to spend $3.2 billion to bring Goro into production. (MB 5/7/07)_x000D_
  	In December 2006, capital costs at Goro were expected to increase to $3 billion, and production was expected to be delayed until the end of 2008. Goro had been hampered by vandalism, supply shortages and a strike in New Caledonia. (MJ 12/1/06)_x000D_
	In July 2006, Inco said that it would announce a higher, revised capital cost estimate for Goro. (MNN 7/20/06) Higher fuel and materials costs, protests and vandalism, and delays in obtaining permits were cited as contributing factors. (Globe & Mail 7/5/06) _x000D_
 	In June 2006, estimated capital expenses for the mine, process plant, and infrastructure were $1.878 billion, with a 15% confidence level. (Inco WS 10/2/06)_x000D_
	In January 2005, Inco obtained C$500 million ($410 million) in financing from the French government for development of Goro. The program was expected to involve the lease financing of a total of about C$500 million in equipment and other assets for the process plant. (Platt's LME 1/5/05)_x000D_
	In October 2004, total initial capital costs were estimated at $1.878 billion (Inco PR 10/19/04)_x000D_
  	The principal reasons for the increase from the $1.85 billion estimate announced in May 2004 were higher costs for a range of construction materials and labour required for construction and the incorporation of a new tailings storage area as part of the project. (BAS 4/05)_x000D_
     	In mid-December 2002, Inco began a 6-month engineering review of the project that would investigate ways to lower Goro's capital costs.  The review could delay production until 2005.  Capital costs were expected to rise between 30% to 45% over the original estimates of $1.4 billion. (NM 12/22/02)_x000D_
     	In the June 2001 quarter, Inco received a commitment ot $350 million covering financing of qualifying Goro expenditures under a program sponsored the government to provide financial support for investments in the country. (Inco 6/01 QR 7/24/01)",2001.0,Prony Resources New Caledonia consortium,Prony Resources New Caledonia consortium,Prony Rsrc New Cal,Venturer,95.0,100.0,,,,,France,Europe,Goro,VNC,New Caledonia,Active,Operating,2021.0,2740600.0,1.6,31000.0,242.833,3682589.0,171287500.0,Eramet SA Registration Document 2019Vale AnnRpt 2019 (Form 20-F),15488694.878896005,6789391.4938024385,24781911.80623361,0.0012509123687625384,88.40645161290323,4.0,0.0040960000000000015,Operating-stage
427,27659.0,27659.0,Hart,Nickel,4.0,04/2015,Underground,,,"Nickel,Copper,Cobalt",Ontario,United States and Canada,48.30371,-81.08124,Exact,25 km SE of Timmins,The property is located 28 km southeast of Timmins and lays along strike of several past producing nickel sulfide mines including the Langmuir No. 1 and No. 2 and the Redstone mine. (Canadian Arrow PR 4/4/06),,Timmins,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,"Jilin Jien Nickel Industry Co., Ltd. (Owner) 100%",1.0,Sandstorm Gold Ltd. (NSR) 1%,,,,,,,,,,,,,,,2014.0,1.0,,,,,750.0,250000.0,,,,,Long Hole Stoping,,,64.43,,104500.0,2012-08-23,,,Initial Capital Cost,"In late August 2012, Liberty released results of it PEA for Hart. The study outlined a 8-year, underground mining operation with a total LOM production of 17,500 mt of payable nickel. The capital costs were estimated at $104.5 million (C$105 million) and included surface and underground construction, construction of the ramp, raises, and boreholes, lateral waste development, and equipment purchases. (Liberty PR 8/23/12)",2012.0,"Jilin Jien Nickel Industry Co., Ltd.",Jilin Jien Nickel Industry Co. Ltd.,Jilin Jien Nickel,,100.0,100.0,Panshi,"Panshi, Jilin",Panshi [CN],Jilin,China,Asia-Pacific,Hart,"McWatters, Tontine",Canada,Temporarily On Hold,Prefeas/Scoping,2015.0,,1.37,,1.87,25733.0,,,,,,,,4.0,0.0040960000000000015,Late-stage exploration
444,36051.0,36051.0,Homeville,Nickel,4.0,04/2021,Open Pit,,,"Nickel,Cobalt,Magnesium,Alumina,Scandium",New South Wales,Asia-Pacific,-32.01484,147.04631,Exact,130 km ESE of Cobar,"Collerina lies within the Fifield Platinum Province. Deposits close to the_x000D_
tenement include the Syerston (nickel-cobalt), Tritton mine (copper-gold), Budgery mine (coppergold) and Tottenham mine (copper). (Metals X 12/10 QR 1/31/11)",,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Alpha HPA Limited (Owner) 100%,,,,,,,,,,,,,,,,,,,,,,,1400.0,470000.0,,,0.75,,Open Pit,,,,,105120.0,2013-09-30,,,Initial Capital Cost,"In September 2013, a scoping study at Homeville outlined a 470,000 mt/y open pit operation producing 5,150 mt/y NiEq over a 10-year mine life. Initial capital costs were estimated at $105.12 million. (Metals Finance 9/13 QR 9/30/13)",2013.0,Alpha HPA Limited,Alpha HPA Ltd.,Alpha HPA Ltd,,100.0,100.0,Sydney,"Sydney, New South Wales",Sydney [AU],New South Wales,Australia,Asia-Pacific,Homeville,"C1, Collerina, EL 6336, Five Ways, Swanson's Trouble, TT2, Widglelands, Yathella, Yethella",Australia,Active,Prefeas/Scoping,2021.0,,0.89,,17.9,159310.0,,Poseidon Nickel AnnRpt 2019,,,,,,4.0,0.0040960000000000015,Late-stage exploration
457,85970.0,85970.0,Huake Smelter,Nickel,1.0,01/2021,,,,Nickel,Maluku,Asia-Pacific,-3.16712,129.85718,Best Guess,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,"Zhejiang Huayou Cobalt Co., Ltd (Venturer) 70%; Tsingshan Holding Group Co., Ltd. (Venturer) 30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515910.0,2020-09-17,,,Initial Capital Cost,"In September 2020, Zhejiang reported that the total project investment to produce 45,000 mt/y Ni was $515.91 million. (Zhejiang Misc Sept 17, 2020)",2020.0,"Zhejiang Huayou Cobalt Co., Ltd",Zhejiang Huayou Cobalt Co. Ltd.,Huayou Cobalt,Venturer,70.0,70.0,Tongxiang,"Tongxiang, Zhejiang",Tongxiang [CN],Zhejiang,China,Asia-Pacific,Huake Smelter,,Indonesia,Active,Operating,2021.0,1063393.018963534,1.73,45000.0,,,61467804.56436614,,8602808.688817415,4135359.877581328,11018515.809934912,0.004084034617386987,23.63095597696742,8.0,0.2621440000000001,Operating-stage
464,29881.0,29881.0,Hunters Road,Nickel,9.0,09/2016,Open Pit,,,Nickel,Midlands,Africa,-19.154,29.771,Exact,30 km N of Gweru,,,,3.0,3.0,2.0,0.0,,,,,,,,,,,1.0,Bindura Nickel Corporation Limited (Owner) 100%,,,,,,,,,,,,,,,,,2011.0,,,,,,5820.0,1920000.0,,,,,Open Pit,,Concentrate,,,90000.0,1996-08-19,,,Initial Capital Cost,"In June 2005, a feasibility study at Hunters Road in 2005 indicated reserves of 125,000 mt of nickel, capital costs of $90 million, and a possible startup of 2011. (Peoples Daily 6/14/06)_x000D_
   A likely estimate of the project costs is $60 to $100 million to produce 6,000 mt/y.  (MW 8/19/96)",1996.0,Bindura Nickel Corporation Limited,Bindura Nickel Corp. Ltd.,Bindura Nickel,,100.0,100.0,Bindura,"Bindura, Mashonaland Central",Bindura [ZW],Mashonaland Central,Zimbabwe,Africa,Hunters Road,,Zimbabwe,Temporarily On Hold,Reserves Development,2016.0,,0.54,,36.44,200000.0,,BNC AnnRpt 2019,,,,,,8.0,0.2621440000000001,Development-stage
491,32687.0,32687.0,Jacare,Nickel,3.0,03/2020,Open Pit,,,"Nickel,Cobalt",Pará,Latin America and Caribbean,-6.16667,-51.86667,Exact,215 km W of Parauapebas,"The Jacare property lies in the western part of the Carajas region of Para State Brazil, at 6010’S, 51052’W, about 60 kms north of the provincial town of Sao Felix do Xingu, to which it is connected by an unpaved all year road. (Carlon/Chris report 1/1/05)",,,2.0,2.0,2.0,1.0,,,,,,,,,,,2.0,Anglo American plc (Optionee) 100%; CPRM (Optionor),,,,,,,,,,,,,,,,,2015.0,,,,,,,,,,,,Open Pit,Hydrometallurgical,,,,2200000.0,2009-04-13,,,Initial Capital Cost,"In February 2009, Jacare remained unapproved.  Should the project go forward, the mine could begin production in 2015 at a rate of 40,000 mt/y Ni with total costs at $2.2 billion. (Anglo American 12/08 AR 2/20/09)",2009.0,Anglo American plc,Anglo American PLC,Anglo American,Optionee,100.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Jacare,"Alligator, Jacare",Brazil,Active,Reserves Development,2020.0,,1.32,,306.6,3913000.0,,"Dreisinger et al., 2008",,,,,,7.0,0.11764899999999996,Development-stage
495,83767.0,83767.0,Jaguar,Nickel,11.0,11/2021,Open Pit,Underground,,"Nickel,Copper,Cobalt,Platinum,Palladium,Zinc",Pará,Latin America and Caribbean,-6.49155,-51.19545,Exact,10 km ENE of Minerasul,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Centaurus Metals Limited (Owner) 100%,1.0,Vale S.A. (Royalty) 0.75%,,,,,,,,,,,,,,,2024.0,,,,2037.0,,8200.0,2700000.0,,,,,"Long Hole Stoping, Open Pit","Ball, Crushing, Flotation, Ore Sorting, Oxidation, Semi-Autogenous Grinding",Concentrate,61.22,,245300.0,2021-03-29,,,Initial Capital Cost,"In May 2021, Centaurus completed its value-add scoping study at Jaguar for a 2.7 million mt/y plant. The study estimated a pre-production capital of $245.3 million, excluding contingency of $42.2 million. (Centaurus RPT May 31, 2021)_x000D_
   In March 2021, Centaurus completed its scoping study at Jaguar for a 2.7 million mt/y conventional nickel flotation plant. The study estimated a pre-production capital of $153.5 million, excluding contingency of $24.1 million. (Centaurus RPT Mar 29, 2021)",2021.0,Centaurus Metals Limited,Centaurus Metals Ltd.,Centaurus Metals,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Jaguar,"Dente de Sabre, EL 856392/1996, Filhote, Fliperama, Jaguar Central, Jaguar Central North, Jaguar Central Sul, Jaguar North, Jaguar North-east, Jaguar South, Jaguar West, Leao, Onca, Onca Preta, Onca Rosa, Puma Contact, Roquefera, Tigre, Twister",Brazil,Active,Feasibility,2021.0,,0.96,,80.6,,,,,,,,,7.0,0.11764899999999996,Feasibility-stage
505,29753.0,29753.0,Jianchaling,Nickel,12.0,12/2009,Underground,,,"Nickel,Gold",Shaanxi,Asia-Pacific,33.25159,106.37029,Approximate,20 km ESE of Lueyang,"Jianchaling is in a mountainous area at an elevation of about 1,000 m.  Infrastructure includes a highway, electricity, and water to the site, which is 30 km to a railway station.  (PC 1/96)",,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0,4.0,2007.0,4.0,2006.0,4.0,,,1000.0,300000.0,,,,,Underground,Flotation,,,,40000.0,2006-11-10,,,Initial Capital Cost,"By November 2006, the Jianchaling gold mine was closed due to depletion, but JNGM was investing RMB 300 million ($38 million) for Phase-1 development of a nickel deposit beside the Jianchaling mine.(ICM 11/10/06)",2006.0,,,,,,,,,,,,,Jianchaling,Zhangjiashan,China,Inactive,Reserves Development,2009.0,282001.5000000001,0.55,,36.0,260000.0,51273000.0,1,2430879.992001713,1187749.5412275367,653262.2476751453,,,6.0,0.04665599999999999,Development-stage
521,31810.0,31810.0,Junior Lake,Nickel,10.0,10/2021,Open Pit,Underground,,"Nickel,Copper,Cobalt,Palladium,Platinum,Gold,Lithium,Iron Ore,Magnetite,Rhodium",Ontario,United States and Canada,50.38169,-87.94799,Exact,85 km N of Beardmore,"Junior Lake is located in the province of Ontario, about 235 km north-northeast of Thunder Bay in the Caribou-O-Sullivan Greenstone Belt. (Landore PR 11/18/08)",,Caribou-O-Sullivan greenstone belt,1.0,1.0,1.0,1.0,1.26,,,,,95.0,,,,,1.0,Landore Resources Limited (Owner) 100%,1.0,Unnamed Owner (NSR),803.0,,,,1000.0,,,,806.0,,,,,,2015.0,,,,,,6700.0,2200000.0,,,,,"Open Pit, Underground","Agglomeration, Agitation Cyanide Leach, Carbon-In-Leach, Carbon-In-Pulp, Crushing, Cyanidation, Flotation, Gravity, Grinding, Heap Leach, Knelson Concentrator",,,,93810.0,2019-04-20,,,Initial Capital Cost,"In February 2019, PEA study results estimated initial capex at $73.53 million for Plant and infrastructure plus $20.28 million for pre-production including mining and G+A, with a sustaining capex and mine development costs for base case and extended case scenarios to be at $1.27 million and 1.97 million, respectively. (Landore RPT Feb 20, 2019)",2019.0,Landore Resources Limited,Landore Resources Ltd.,Landore Resources,,100.0,100.0,Saint Sampson,"Saint Sampson, Guernsey [Guernesey]",Saint Sampson [GB],Guernsey [Guernesey],United Kingdom,Europe,Junior Lake,"Alpha, Alpha Zone, B4-7, B4-7 East, B4-7 West, B4-8, BAM, BAM East, Carrot Top, Central Zone, CLM 461, DC6, DC7, Despard, East Block, Exploration Target, Felix, Felix Lake, Grassy Pond Sill, IP7, Katrina, Ladle Flats, ML108257, ML108258, ML108259, ML109819, MM-18, MM-7, MRE, MT, New, PQ, Scorpion, Summit, Summit Lake, Swole, Swole Lake, Tape Lake, Toronto Lake, Toronto Lake East, VW, VW West, West Block, Whale",Canada,Active,Prefeas/Scoping,2021.0,,1.02,,31.0,,,,,,,,,4.0,0.0040960000000000015,Late-stage exploration
524,27779.0,27779.0,Kabanga,Nickel,12.0,12/2018,Underground,Open Pit,,"Nickel,Cobalt,Copper,Platinum,Palladium",Kagera,Africa,-2.88889,30.54972,Exact,50 km WSW of Nyabugombe,"Kabanga is about 40 km south of Ngara, near the Burundi border, and about 240 km west of the main regional centre of Mwanza. (NM 2/11/08)",,,2.0,3.0,2.0,2.0,,,,,,,,,,,2.0,Kabanga Nickel Limited (Venturer) 84%; Government of the United Republic of Tanzania (Venturer) 16%,,,,,,,,,,,,,,,,,2014.0,,,,,,,,,,,,,,Concentrate,,,135000.0,1992-12-01,2014-06-15,,Initial Capital Cost,"As of August 2011, Xstrata expected to approve the Kabanga phase-one project in the first-half of 2012. Production of 10,000 mt/y Ni would begin 2014 with an expansion to 30,000-35,000 mt/y in 2020. (Xstrata 6/11 IR 8/2/11)_x000D_
	In April 2005, Barrick was considering a 2-million-mt/y operation producing 30,000 to 35,000 mt/y Ni. (Barrcik PR 4/19/05)_x000D_
   A late 1997 scoping study, completed by Anglo American, projected the capital cost to establish a 1 million-mt/y operation and associated facilities to be approximately $135 million. (Sutton 12/97 AR 3/26/98)_x000D_
	In mid-July 1997, Sutton estimated capital costs of about $150 million, which will be financed 60% by debt ($90 million) and 40% by equity ($60 million).  Anglo was solely responsible for arranging the debt financing, which wasnon-recource to Sutton.  Anglo was also responsible for coming up with 60% of the remaining 40% of equity financing ($36 million), making Anglo's total capital cost obligation amount to $126 million.  Sutton was responsible for 40% of the 40% in equity financing - $24 million.  (PC 7/97)_x000D_
	In 1994, based on Sutton's preliminary economic study, capital costs were estimated at $321 million, with a payback of 2.5 years.  (Sutton 12/94 AR 3/6/95)_x000D_
	The previous 1992, a $245 million capital cost included a 5,99-mt/d mill and a flash smelter.  It consisted of $210 million in project costs and $35 million in working capital. (PC 12/92)",2014.0,Kabanga Nickel Limited,Kabanga Nickel Ltd.,Kabanga Nickel Ltd,Venturer,84.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Kabanga,"Kagera South, Ngara",Tanzania,Inactive,Feasibility Complete,2018.0,,2.63,,37.2,,,,,,,,,9.0,0.531441,Development-stage
531,34844.0,34844.0,Kalatongke,Nickel,12.0,12/2020,Underground,,,"Nickel,Copper,Cobalt,Platinum,Palladium,Gold,Silver",Xinjiang,Asia-Pacific,46.75917,89.66722,Exact,364 km NNE of Urumqi,"The Kalatongke Mine is approximately 450 km from Urumqi, the capital city of Xinjiang. (Xinjiang Xinxin WS May 2016)",,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,"Xinjiang Xinxin Mining Industry Co., Ltd. (Owner) 100%",,,,,,,,,,,,,,,1989.0,2.0,,,,,,,3273.0,1080000.0,,,,,"Cut & Fill Stoping, Sublevel Caving","Crushing, Flotation, Grinding",Matte,,,161000.0,2008-10-31,2009-12-31,2010-01-01,Expansion,"In March 2010, Xinjiang planned to increase the registered capital of its subsidiary Xinjiang Wuxin.  Part of the proceeds would be used to fund the smelter expansion and mine expansion at Kalatongke. (Xinjiang PR 3/29/10)  The expansion project was completed early in 2010, increasing capacity to 8,000 mt/y Ni. (Xinjiang 12/09 AR 3/29/10)_x000D_
	In April 2009, work continued on expanding Kalatongke's capacity from 1,000 mt/d to 3,000 mt/d.  The cost estimate was increased to $161 million (1.1 billion yuan). (Antaike 4/30/09)_x000D_
In September 2007, Xinjiang Xinxin Mining Co, a subsidiary of Xingiang Nonferrous planned to raise up to $501 million (HK$3.9 billion) in a Hong Kong IPO.  About $48 million of the proceeds would be used towards an expansion at Kelatongke.  The expansion was expected to increase processing capacity from about 900 mt/d to 2,700 mt/d beginning in 2009. (ICM 9/28/07) After the IPO, Xingiang Nonferrous would hold about 42% of XinJiang XinXin, remaining the controlling shareholder. (XinJiang Prospectus 9/27/07)",2010.0,"Xinjiang Xinxin Mining Industry Co., Ltd.",Xinjiang Xinxin Mining Industry Co. Ltd.,Xinjiang Xinxin,,100.0,100.0,Urumqi,"Urumqi, Xinjiang",Urumqi [CN],Xinjiang,China,Asia-Pacific,Kalatongke,"Fukang, Kelatongke",China,Active,Operating,2020.0,121190.0,0.6,5268.0,30.329311,168715.0,20038273.0,"Song and Li, 2009; Xinjiang Xinxin AnnRpt 2019Xinjiang Xinxin AnnRpt 2019Terrafame FinRpt 2019",1439904.1854298734,765627.4679223028,459376.4807533817,0.011467718136898153,23.00493545937737,6.0,0.04665599999999999,Operating-stage
